ticker,date,open,high,low,close,volume,closeadjusted
IDTL.UK,28/04/2016,4.3362,4.3362,4.2927,4.2927,541719,4.2927
IDTL.UK,29/04/2016,4.3105,4.3219,4.2884,4.306,295257,4.306
IDTL.UK,3/05/2016,4.2973,4.3616,4.2973,4.3616,766692,4.3616
IDTL.UK,4/05/2016,4.3705,4.3705,4.3593,4.3593,292,4.3593
IDTL.UK,5/05/2016,4.3682,4.3767,4.3682,4.3767,75469,4.3767
IDTL.UK,6/05/2016,4.3967,4.3989,4.3848,4.3904,281470,4.3904
IDTL.UK,9/05/2016,4.3825,4.3923,4.3786,4.3923,5270,4.3923
IDTL.UK,10/05/2016,4.3989,4.3995,4.3875,4.3975,764162,4.3975
IDTL.UK,11/05/2016,4.4089,4.4098,4.3904,4.405,283896,4.405
IDTL.UK,12/05/2016,4.4169,4.4212,4.3549,4.3958,1127711,4.3958
IDTL.UK,13/05/2016,4.4126,4.4274,4.4126,4.416,633032,4.416
IDTL.UK,16/05/2016,4.4284,4.4345,4.4084,4.4084,599927,4.4084
IDTL.UK,17/05/2016,4.3867,4.4242,4.384,4.4169,221872,4.4169
IDTL.UK,18/05/2016,4.3975,4.3975,4.362,4.362,15365,4.362
IDTL.UK,19/05/2016,4.3606,4.3606,4.3606,4.3606,270598,4.3606
IDTL.UK,20/05/2016,4.3539,4.3625,4.3539,4.3625,9746,4.3625
IDTL.UK,23/05/2016,4.384,4.3904,4.3611,4.3639,121630,4.3639
IDTL.UK,24/05/2016,4.3478,4.3478,4.3469,4.3469,6775,4.3469
IDTL.UK,25/05/2016,4.3628,4.3673,4.3628,4.3673,6596,4.3673
IDTL.UK,26/05/2016,4.3673,4.3673,4.3673,4.3673,3097,4.3673
IDTL.UK,27/05/2016,4.3699,4.3715,4.3639,4.3639,19592,4.3639
IDTL.UK,31/05/2016,4.3148,4.3593,4.3148,4.3593,16094,4.3593
IDTL.UK,1/06/2016,4.3725,4.4079,4.3725,4.3998,257757,4.3998
IDTL.UK,2/06/2016,4.3912,4.4235,4.3875,4.4235,444864,4.4235
IDTL.UK,3/06/2016,4.4259,4.4711,4.4259,4.4711,15756,4.4711
IDTL.UK,6/06/2016,4.4746,4.4746,4.4548,4.4556,34436,4.4556
IDTL.UK,7/06/2016,4.4566,4.4566,4.4566,4.4566,3459,4.4566
IDTL.UK,8/06/2016,4.4679,4.4701,4.4679,4.4701,29422,4.4701
IDTL.UK,9/06/2016,4.5055,4.5122,4.5012,4.5122,8034,4.5122
IDTL.UK,10/06/2016,4.5323,4.5499,4.5323,4.5323,331098,4.5323
IDTL.UK,13/06/2016,4.5521,4.5521,4.5256,4.5411,140754,4.5411
IDTL.UK,14/06/2016,4.5943,4.5943,4.5699,4.5699,1128,4.5699
IDTL.UK,15/06/2016,4.5723,4.5765,4.5723,4.5765,2585,4.5765
IDTL.UK,16/06/2016,4.5903,4.6261,4.5856,4.6059,6712837,4.6059
IDTL.UK,17/06/2016,4.5655,4.5679,4.5612,4.5655,46608,4.5655
IDTL.UK,20/06/2016,4.5231,4.5297,4.5118,4.514,168657,4.514
IDTL.UK,21/06/2016,4.5096,4.5253,4.5096,4.5096,1481508,4.5096
IDTL.UK,22/06/2016,4.487,4.5028,4.4789,4.4836,18399,4.4836
IDTL.UK,23/06/2016,4.4459,4.487,4.4459,4.4553,5432,4.4553
IDTL.UK,24/06/2016,4.5903,4.5948,4.5633,4.5633,1571620,4.5633
IDTL.UK,27/06/2016,4.6149,4.6801,4.6149,4.6745,1571492,4.6745
IDTL.UK,28/06/2016,4.6776,4.7069,4.6776,4.7069,312030,4.7069
IDTL.UK,29/06/2016,4.689,4.7047,4.689,4.698,7990898,4.698
IDTL.UK,30/06/2016,4.6463,4.6935,4.6126,4.6912,923799,4.6912
IDTL.UK,1/07/2016,4.7428,4.7831,4.698,4.7146,356073,4.7146
IDTL.UK,4/07/2016,4.7248,4.7474,4.7226,4.7474,17037,4.7474
IDTL.UK,5/07/2016,4.7742,4.8168,4.7742,4.8012,2910728,4.8012
IDTL.UK,6/07/2016,4.8191,4.8349,4.8029,4.8056,727093,4.8056
IDTL.UK,7/07/2016,4.7966,4.8147,4.7787,4.8056,533672,4.8056
IDTL.UK,8/07/2016,4.8191,4.8282,4.8065,4.8191,76580,4.8191
IDTL.UK,11/07/2016,4.8415,4.8551,4.8012,4.8012,36877,4.8012
IDTL.UK,12/07/2016,4.7519,4.7519,4.7248,4.7248,261599,4.7248
IDTL.UK,13/07/2016,4.7587,4.77,4.754,4.7698,109510,4.7698
IDTL.UK,14/07/2016,4.7474,4.7495,4.6935,4.6935,117457,4.6935
IDTL.UK,15/07/2016,4.7024,4.7024,4.6666,4.6755,41616,4.6755
IDTL.UK,18/07/2016,4.6845,4.6912,4.6576,4.6576,836149,4.6576
IDTL.UK,19/07/2016,4.6912,4.698,4.6687,4.6801,182458,4.6801
IDTL.UK,20/07/2016,4.6621,4.6621,4.6531,4.6531,38768,4.6531
IDTL.UK,21/07/2016,4.6552,4.6598,4.6216,4.644,908368,4.644
IDTL.UK,22/07/2016,4.671,4.6755,4.6531,4.671,32897,4.671
IDTL.UK,25/07/2016,4.6755,4.6908,4.6598,4.6801,1319670,4.6801
IDTL.UK,26/07/2016,4.7115,4.7115,4.671,4.671,251251,4.671
IDTL.UK,27/07/2016,4.6801,4.7182,4.6748,4.7069,1348866,4.7069
IDTL.UK,28/07/2016,4.7428,4.7428,4.7205,4.7294,90614,4.7294
IDTL.UK,29/07/2016,4.7159,4.7474,4.7024,4.7474,34673,4.7474
IDTL.UK,1/08/2016,4.7562,4.7587,4.7159,4.7248,552487,4.7248
IDTL.UK,2/08/2016,4.6935,4.6957,4.644,4.6801,332233,4.6801
IDTL.UK,3/08/2016,4.6845,4.689,4.6621,4.6621,62504,4.6621
IDTL.UK,4/08/2016,4.6734,4.7272,4.671,4.7182,85925,4.7182
IDTL.UK,5/08/2016,4.7205,4.7294,4.6734,4.6734,26834,4.6734
IDTL.UK,8/08/2016,4.6666,4.6734,4.6486,4.671,115221,4.671
IDTL.UK,9/08/2016,4.6801,4.7047,4.6687,4.6912,92536,4.6912
IDTL.UK,10/08/2016,4.7159,4.7226,4.7093,4.7226,57204,4.7226
IDTL.UK,11/08/2016,4.7226,4.7272,4.7003,4.7003,82881,4.7003
IDTL.UK,12/08/2016,4.7136,4.7587,4.7003,4.7406,122829,4.7406
IDTL.UK,15/08/2016,4.7406,4.7406,4.7047,4.7047,6918,4.7047
IDTL.UK,16/08/2016,4.7024,4.7115,4.6734,4.6734,45803,4.6734
IDTL.UK,17/08/2016,4.6734,4.6868,4.6643,4.6845,69502,4.6845
